기간,구분,구분,지하철 역수,엘레베이터,엘레베이터,에스컬레이터,에스컬레이터,휠체어리프트,휠체어리프트,수평자동보도,수평자동보도
기간,구분,구분,지하철 역수,설치역수,시설수,설치역수,시설수,설치역수,시설수,설치역수,시설수
2009,합계,합계,293,276,755,209,"1,563",93,207,8,24
2009,서울메트로,소계,120,109,282,62,294,33,68,1,2
2009,서울메트로,1호선,10,10,30,3,15,4,9,0,0
2009,서울메트로,2호선,50,47,123,26,116,13,29,0,0
2009,서울메트로,3호선,34,27,65,18,89,6,11,1,2
2009,서울메트로,4호선,26,25,64,15,74,10,19,0,0
2009,도시철도공사,소계,148,142,374,122,812,58,137,5,16
2009,도시철도공사,5호선,51,47,122,42,237,16,40,0,0
2009,도시철도공사,6호선,38,38,95,37,237,17,34,3,12
2009,도시철도공사,7호선,42,40,110,34,296,18,49,2,4
2009,도시철도공사,8호선,17,17,47,9,42,7,14,0,0
2009,서울시 메트로9,9호선,25,25,99,25,457,2,2,2,6
2010,합계,합계,293,281,778,229,"1,701",87,196,8,24
2010,서울메트로,소계,120,113,298,77,384,30,60,1,2
2010,서울메트로,1호선,10,10,30,4,17,4,9,0,0
2010,서울메트로,2호선,50,48,125,32,133,13,25,0,0
2010,서울메트로,3호선,34,30,75,23,154,5,10,1,2
2010,서울메트로,4호선,26,25,68,18,80,8,16,0,0
2010,도시철도공사,소계,148,143,381,127,860,55,134,5,16
2010,도시철도공사,5호선,51,48,124,42,253,14,36,0,0
2010,도시철도공사,6호선,38,38,95,38,242,18,38,3,12
2010,도시철도공사,7호선,42,40,111,36,307,17,47,2,4
2010,도시철도공사,8호선,17,17,51,11,58,6,13,0,0
2010,서울시 메트로9,9호선,25,25,99,25,457,2,2,2,6
2011,합계,합계,293,282,784,238,"1,767",87,201,8,20
2011,서울메트로,소계,120,114,300,82,406,29,59,1,2
2011,서울메트로,1호선,10,10,30,5,19,4,9,0,0
2011,서울메트로,2호선,50,48,126,33,147,13,25,0,0
2011,서울메트로,3호선,34,31,76,25,158,4,9,1,2
2011,서울메트로,4호선,26,25,68,19,82,8,16,0,0
2011,도시철도공사,소계,148,143,385,131,902,56,136,5,16
2011,도시철도공사,5호선,51,48,126,45,265,15,37,0,0
2011,도시철도공사,6호선,38,38,95,38,250,18,38,3,12
2011,도시철도공사,7호선,42,40,113,37,325,17,48,2,4
2011,도시철도공사,8호선,17,17,51,11,62,6,13,0,0
2011,서울시 메트로9,9호선,25,25,99,25,459,2,6,2,2
2012,합계,합계,302,291,840,247,"1,900",86,200,8,20
2012,서울메트로,소계,120,115,309,84,424,28,56,1,2
2012,서울메트로,1호선,10,10,34,5,19,4,9,0,0
2012,서울메트로,2호선,50,49,130,35,158,12,22,0,0
2012,서울메트로,3호선,34,31,76,25,162,4,9,1,2
2012,서울메트로,4호선,26,25,69,19,85,8,16,0,0
2012,도시철도공사,소계,157,151,432,138,"1,017",56,138,5,16
2012,도시철도공사,5호선,51,47,130,43,263,15,37,0,0
2012,도시철도공사,6호선,38,38,98,38,254,19,41,3,12
2012,도시철도공사,7호선,51,49,153,46,438,16,47,2,4
2012,도시철도공사,8호선,17,17,51,11,62,6,13,0,0
2012,서울시 메트로9,9호선,25,25,99,25,459,2,6,2,2
2013,합계,합계,302,292,855,254,"1,929",84,194,8,20
2013,서울메트로,소계,120,116,317,90,445,28,54,1,2
2013,서울메트로,1호선,10,10,34,8,22,4,9,0,0
2013,서울메트로,2호선,50,50,136,37,170,12,20,0,0
2013,서울메트로,3호선,34,31,77,25,164,4,9,1,2
2013,서울메트로,4호선,26,25,70,20,89,8,16,0,0
2013,도시철도공사,소계,157,151,439,139,"1,025",54,134,5,16
2013,도시철도공사,5호선,51,47,132,44,269,15,37,0,0
2013,도시철도공사,6호선,38,38,100,38,256,19,41,3,12
2013,도시철도공사,7호선,51,49,156,46,438,14,43,2,4
2013,도시철도공사,8호선,17,17,51,11,62,6,13,0,0
2013,서울시 메트로9,9호선,25,25,99,25,459,2,6,2,2
2014,합계,합계,302,292,873,257,"2,007",84,194,9,22
2014,서울메트로,소계,120,116,329,93,490,28,54,1,2
2014,서울메트로,1호선,10,10,36,7,29,4,10,0,0
2014,서울메트로,2호선,50,50,143,38,190,12,19,0,0
2014,서울메트로,3호선,34,31,79,26,172,4,9,1,2
2014,서울메트로,4호선,26,25,71,22,99,8,16,0,0
2014,도시철도공사,소계,157,151,445,139,"1,058",54,134,6,18
2014,도시철도공사,5호선,51,47,133,44,283,15,37,1,2
2014,도시철도공사,6호선,38,38,104,38,270,19,41,3,12
2014,도시철도공사,7호선,51,49,157,46,443,14,43,2,4
2014,도시철도공사,8호선,17,17,51,11,62,6,13,0,0
2014,서울시 메트로9,9호선,25,25,99,25,459,2,6,2,2
2015,합계,합계,307,299,909,267,"2,147",82,185,8,20
2015,서울메트로,소계,120,117,336,96,513,28,53,1,2
2015,서울메트로,1호선,10,10,36,7,29,4,10,0,0
2015,서울메트로,2호선,50,50,147,40,203,12,19,0,0
2015,서울메트로,3호선,34,31,81,27,178,4,9,1,2
2015,서울메트로,4호선,26,26,72,22,103,8,15,0,0
2015,도시철도공사,소계,157,152,452,141,"1,065",52,126,5,16
2015,도시철도공사,5호선,51,48,136,45,283,14,29,0,0
2015,도시철도공사,6호선,38,38,107,38,278,19,41,3,12
2015,도시철도공사,7호선,51,49,158,46,436,13,43,2,4
2015,도시철도공사,8호선,17,17,51,12,68,6,13,0,0
2015,서울시 메트로9,9호선,30,30,121,30,569,2,6,2,2
2016,합계,합계,307,300,906,271,"2,199",83,180,8,24
2016,서울메트로,소계,120,116,330,98,524,28,52,1,2
2016,서울메트로,1호선,10,10,36,8,31,3,9,0,0
2016,서울메트로,2호선,50,49,144,41,208,11,18,0,0
2016,서울메트로,3호선,34,31,81,27,180,4,8,1,2
2016,서울메트로,4호선,26,26,69,22,105,10,17,0,0
2016,도시철도공사,소계,157,154,456,143,"1,106",53,126,5,16
2016,도시철도공사,5호선,51,50,139,47,297,14,28,0,0
2016,도시철도공사,6호선,38,38,106,38,284,19,41,3,12
2016,도시철도공사,7호선,51,49,160,46,457,14,44,2,4
2016,도시철도공사,8호선,17,17,51,12,68,6,13,0,0
2016,서울시 메트로9,소계,30,30,120,30,569,2,2,2,6
2016,서울시 메트로9,(1단계),25,25,98,25,465,2,2,2,6
2016,서울시 메트로9,(2단계),5,5,22,5,104,0,0,0,0
2004,합계,합계,263,214,481,156,937,126,424,6,18
2004,서울메트로,소계,115,83,188,48,218,43,133,1,2
2004,서울메트로,1호선,9,8,18,1,1,4,13,0,0
2004,서울메트로,2호선,49,37,81,18,68,21,62,0,0
2004,서울메트로,3호선,31,21,48,16,84,11,35,1,2
2004,서울메트로,4호선,26,17,41,13,65,7,23,0,0
2004,도시철도공사,소계,148,131,293,108,719,83,291,5,16
2004,도시철도공사,5호선,51,42,90,32,187,20,64,0,0
2004,도시철도공사,6호선,38,36,80,36,228,31,99,3,12
2004,도시철도공사,7호선,42,38,89,33,270,25,104,2,4
2004,도시철도공사,8호선,17,15,34,7,34,7,24,0,0
2005,합계,합계,265,248,619,169,989,143,453,6,18
2005,서울메트로,소계,117,109,274,53,243,53,150,1,2
2005,서울메트로,1호선,10,10,30,2,3,5,16,0,0
2005,서울메트로,2호선,50,47,119,21,89,23,68,0,0
2005,서울메트로,3호선,31,27,64,17,86,14,36,1,2
2005,서울메트로,4호선,26,25,61,13,65,11,30,0,0
2005,도시철도공사,소계,148,139,345,116,746,90,303,5,16
2005,도시철도공사,5호선,51,46,111,38,204,23,71,0,0
2005,도시철도공사,6호선,38,38,89,37,232,30,98,3,12
2005,도시철도공사,7호선,42,40,106,34,276,27,106,2,4
2005,도시철도공사,8호선,17,15,39,7,34,10,28,0,0
2006,합계,합계,265,249,637,173,"1,027",143,457,6,18
2006,서울메트로,소계,117,109,275,57,259,53,150,1,2
2006,서울메트로,1호선,10,10,30,3,15,5,16,0,0
2006,서울메트로,2호선,50,47,119,24,93,23,68,0,0
2006,서울메트로,3호선,31,27,65,17,86,14,36,1,2
2006,서울메트로,4호선,26,25,61,13,65,11,30,0,0
2006,도시철도공사,소계,148,140,362,116,768,90,307,5,16
2006,도시철도공사,5호선,51,46,114,38,208,23,71,0,0
2006,도시철도공사,6호선,38,38,96,37,236,30,98,3,12
2006,도시철도공사,7호선,42,40,108,34,290,27,110,2,4
2006,도시철도공사,8호선,17,16,44,7,34,10,28,0,0
2007,합계,합계,265,249,638,177,"1,040",114,307,6,18
2007,서울메트로,소계,117,109,275,60,266,53,150,1,2
2007,서울메트로,1호선,10,10,30,3,15,5,16,0,0
2007,서울메트로,2호선,50,47,119,27,100,23,66,0,0
2007,서울메트로,3호선,31,27,65,17,86,14,35,1,2
2007,서울메트로,4호선,26,25,61,13,65,11,33,0,0
2007,도시철도공사,소계,148,140,363,117,774,61,157,5,16
2007,도시철도공사,5호선,51,46,116,39,212,16,42,0,0
2007,도시철도공사,6호선,38,38,95,37,236,21,51,3,12
2007,도시철도공사,7호선,42,40,108,34,292,17,48,2,4
2007,도시철도공사,8호선,17,16,44,7,34,7,16,0,0
2008,합계,합계,265,249,638,178,"1,052",97,230,6,18
2008,서울메트로,소계,117,109,275,62,276,35,72,1,2
2008,서울메트로,1호선,10,10,30,3,15,4,9,0,0
2008,서울메트로,2호선,50,47,119,27,104,14,29,0,0
2008,서울메트로,3호선,31,27,65,17,86,8,16,1,2
2008,서울메트로,4호선,26,25,61,15,71,9,18,0,0
2008,도시철도공사,소계,148,140,363,116,776,62,158,5,16
2008,도시철도공사,5호선,51,46,116,39,216,16,42,0,0
2008,도시철도공사,6호선,38,38,95,36,236,21,50,3,12
2008,도시철도공사,7호선,42,40,108,34,290,18,50,2,4
2008,도시철도공사,8호선,17,16,44,7,34,7,16,0,0
