Year,Subway,Fare,Congested,PM10,CO2,Elevator,Escalator
2005,359103585.5,800,171,115.36,553.3,619,989
2006,357749022.5,800,167,113.12,566.38,637,1027
2007,357939364,900,171,112.23,559.09,638,1040
2008,361731106.5,900,168,95.17,511.67,638,1052
2009,362632685,900,165,96.37,500.1,755,1563
2010,368837234.3,900,166,92.16,507.79,778,1701
2011,377382165.5,900,164,92.5,514.37,784,1767
2012,378416313.3,1050,160,90.2,522.3,840,1900
2013,380923164.8,1050,158,91,534,855,1929
2014,386006336.3,1050,155,90.36,569.45,873,2007
2015,383524184.8,1250,152,90.65,555.59,909,2147
2016,379564502.3,1250,149,84.1,561.5,906,2199
