연도,구분,1호선,2호선,3호선,4호선
2016,수송인원(명),164634048,762447319,287363289,303813353
2016,운수수입(천원),93077617,550865917,190141015,208200205
2015,수송인원(명),164138852,761807002,286360778,302565175
2015,운수수입(천원),86132894,516760611,177364853,193924569
2014,수송인원(명),170807317,771241619,293775202,308201207
2014,운수수입(천원),83878899,486973528,170269754,184619139
2013,수송인원(명),168206476,759307998,289692822,306485363
2013,운수수입(천원),81226561,470105559,165034932,180157696
2012,수송인원(명),167784425,752917456,286036938,306926434
2012,운수수입(천원),83199967,479304174,166746911,185298721
2011,수송인원(명),170110521,747577667,282997903,308842571
2011,운수수입(천원),74600205,419973167,146391797,165271324
2010,수송인원(명),164409302,731847885,275466721,303625029
2010,운수수입(천원),72203954,411367805,143780321,162762814
2009,수송인원(명),163860092,732037588,257501239,297131821
2009,운수수입(천원),71889954,415705823,136641092,159651265
2008,수송인원(명),168096727,727057819,256547773,295222107
2008,운수수입(천원),74417772,417962048,138732931,159785921
2007,수송인원(명),169635080,707328238,256172707,298621431
2007,운수수입(천원),74084061,396992811,136879509,159822591
2006,수송인원(명),169903083,699222041,257543491,304327475
2006,운수수입(천원),68411060,357520807,125600318,148642101
2005,수송인원(명),171943936,698775955,259165710,306528741
2005,운수수입(천원),71804293,361450869,128810631,152418695
2004,수송인원(명),172081871,703795715,265398537,312582544
2004,운수수입(천원),66011252,330908541,120601140,141856181
2003,수송인원(명),166914137,692287339,263872678,306221692
2003,운수수입(천원),64048385,317085296,119328505,137771648
2002,수송인원(명),171060762,692766114,265141674,310747401
2002,운수수입(천원),59267826,285528548,108769878,126068894
2001,수송인원(명),174659816,676270467,259142418,305665098
2001,운수수입(천원),59859916,282798372,109362886,126197735
2000,수송인원(명),176766072,656566816,237668711,298717108
2000,운수수입(천원),55065627,253750939,96388307,114745662
1999,수송인원(명),175961957,601462368,227610899,296685144
1999,운수수입(천원),53016951,222261378,88799875,108717393
1998,수송인원(명),178680186,595319840,234009772,298267953
1998,운수수입(천원),51231507,202094929,83359924,102008340
1997,수송인원(명),183609058,619405286,247367918,304435957
1997,운수수입(천원),47607876,196524901,81423886,96040655
1996,수송인원(명),190073279,684411859,252824228,295261093
1996,운수수입(천원),47055388,218876073,83030741,95194444
1995,수송인원(명),379763222,614087862,226564053,256373023
1995,운수수입(천원),40220044,201742223,74913408,84595811
1994,수송인원(명),356123906,588761851,208430560,250916655
1994,운수수입(천원),40713530,189893825,67925523,81329035
1993,수송인원(명),346999413,592248139,193672270,255117275
1993,운수수입(천원),38033310,163279995,54376545,70748920
1992,수송인원(명),338521320,574529210,189269767,251829927
1992,운수수입(천원),37018191,134809184,45489925,59167149
1991,수송인원(명),317732691,517150320,174248221,232025835
1991,운수수입(천원),37027438,120536932,41425254,53608691
1990,수송인원(명),305513598,488075506,161180857,213881634
1990,운수수입(천원),31550160,90483143,31722085,41130347
1989,수송인원(명),277828214,406352696,131013857,191744939
1989,운수수입(천원),28897053,75773732,26144427,37041497
1988,수송인원(명),255613492,371477903,121867056,178485226
1988,운수수입(천원),26329878,66463626,23283814,32511159
1987,수송인원(명),238839704,319781098,103390256,148446474
1987,운수수입(천원),25183225,57843541,19782105,27542061
1986,수송인원(명),210235030,298701663,97655584,135061173
1986,운수수입(천원),25631943,44569176,15535418,20670155
1985,수송인원(명),227443144,237231995,17248233,29145330
1985,운수수입(천원),24459095,35730456,2704866,4206228
1984,수송인원(명),233508535,163961245,,
1984,운수수입(천원),20786477,22172066,,
1983,수송인원(명),237787096,46068831,,
1983,운수수입(천원),19811114,5503989,,
1982,수송인원(명),218157687,24115980,,
1982,운수수입(천원),18015478,3049344,,
1981,수송인원(명),212103558,21443803,,
1981,운수수입(천원),15471236,2374721,,
1980,수송인원(명),194785985,2819549,,
1980,운수수입(천원),11796626,293944,,
1979,수송인원(명),194372797,,,
1979,운수수입(천원),8284588,,,
1978,수송인원(명),165927857,,,
1978,운수수입(천원),5731344,,,
1977,수송인원(명),124969820,,,
1977,운수수입(천원),3709406,,,
1976,수송인원(명),89251981,,,
1976,운수수입(천원),2637271,,,
1975,수송인원(명),79991880,,,
1975,운수수입(천원),2102911,,,
1974,수송인원(명),31776905,,,
1974,운수수입(천원),761447,,,
